Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","60","El Salvador","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1479.12","Fc","Calculated data"
"RL","Land Use","61","Equatorial Guinea","5110","Area","6600","Country area","2018","2018","1000 ha","2805","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","61","Equatorial Guinea","5110","Area","6610","Agricultural land","2018","2018","1000 ha","284","Fm","Manual Estimation"
"RL","Land Use","178","Eritrea","5110","Area","6600","Country area","2018","2018","1000 ha","11760","Fm","Manual Estimation"
"RL","Land Use","178","Eritrea","5110","Area","6610","Agricultural land","2018","2018","1000 ha","7592","Fm","Manual Estimation"
"RL","Land Use","63","Estonia","5110","Area","6600","Country area","2018","2018","1000 ha","4534","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","63","Estonia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1004","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","209","Eswatini","5110","Area","6600","Country area","2018","2018","1000 ha","1736","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","209","Eswatini","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1222","Fm","Manual Estimation"
"RL","Land Use","238","Ethiopia","5110","Area","6600","Country area","2018","2018","1000 ha","113625.941","Fc","Calculated data"
"RL","Land Use","238","Ethiopia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","37903","Fm","Manual Estimation"
"RL","Land Use","65","Falkland Islands (Malvinas)","5110","Area","6600","Country area","2018","2018","1000 ha","1217","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","65","Falkland Islands (Malvinas)","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1141.6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","64","Faroe Islands","5110","Area","6600","Country area","2018","2018","1000 ha","139.6","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","64","Faroe Islands","5110","Area","6610","Agricultural land","2018","2018","1000 ha","3","Fm","Manual Estimation"
